date,date_gap,disp,flags,latitude,longitude,mask,size,vel_angle,iceberg_name,timestamp
2012203,0,0.0,4,-54.008,-35.762,2,0.0,0.0,c19c1,1970-01-01T00:00:00Z
2005072,0,0.0,3,-65.02,95.92,0,1.22,0.0,c21b,1970-01-01T00:00:00Z
2005072,0,0.0,3,-64.83,96.17,0,0.0,0.0,c24,1970-01-01T00:00:00Z
2010094,0,0.0,3,-65.75,142.68,0,0.0,0.0,c28a,1970-01-01T00:00:00Z
2011242,0,0.0,4,-65.745,124.055,1,9613.11,0.0079,c28a2,1970-01-01T00:00:00Z
2010094,0,0.0,3,-65.73,141.82,0,0.0,0.0,c28b,1970-01-01T00:00:00Z
2016001,0,0.0,6,-66.15,142.967,1,0.0,0.0,c29,1970-01-01T00:00:00Z
2016001,0,0.0,6,-64.762,96.284,1,2426.56,0.0,c30,1970-01-01T00:00:00Z
2016001,0,0.0,6,-64.7,96.733,1,0.0,0.0,c31,1970-01-01T00:00:00Z
2016001,0,0.0,6,-70.031,162.573,0,0.0,0.0,c32,1970-01-01T00:00:00Z
2016098,0,0.0,5,-75.156,163.64,0,0.0,0.0,c33,1970-01-01T00:00:00Z
2017120,0,0.0,6,-66.889,145.161,1,0.0,0.0,c34,1970-01-01T00:00:00Z
2018215,0,0.0,6,-68.266,148.161,0,57237.85,-0.0005,c35,1970-01-01T00:00:00Z
2019032,0,0.0,3,-68.133,147.833,0,60757.21,-0.0003,c36,1970-01-01T00:00:00Z
2022069,0,0.0,4,-65.62,103.184,0,0.0,0.0,c37,1970-01-01T00:00:00Z
2022074,0,0.0,6,-65.731,103.106,0,0.0,0.0,c38,1970-01-01T00:00:00Z
2022084,0,0.0,6,-65.168,101.757,0,0.0,0.0,c38a,1970-01-01T00:00:00Z
2022084,0,0.0,6,-65.06,101.72,0,0.0,0.0,c38b,1970-01-01T00:00:00Z
2022119,0,0.0,6,-65.68,99.61,0,0.0,0.0,c39,1970-01-01T00:00:00Z
2023118,0,0.0,4,-66.55,110.21,0,0.0,0.0,c40,1970-01-01T00:00:00Z
2011242,0,0.0,5,-69.44,75.035,0,0.0,0.0,d14,1970-01-01T00:00:00Z
2011242,0,0.0,6,-66.744,81.872,1,0.0,0.0,d15,1970-01-01T00:00:00Z
2016031,0,0.0,6,-66.7,81.917,1,2467.2,-0.0043,d15a,1970-01-01T00:00:00Z
2016032,0,0.0,6,-67.0,81.633,1,0.0,0.0,d15b,1970-01-01T00:00:00Z
2013175,0,0.0,2,-69.16,36.39,0,0.0,0.0,d20,1970-01-01T00:00:00Z
2011242,0,0.0,6,-69.206,36.692,0,0.0,0.0,d20a,1970-01-01T00:00:00Z
2014255,0,0.0,6,-69.067,36.275,0,776.32,0.0,d20b,1970-01-01T00:00:00Z
2013305,0,0.0,2,-66.2,85.767,0,0.0,0.0,d21,1970-01-01T00:00:00Z
2013317,0,0.0,6,-67.794,48.91,1,-33.48,0.0,d21a,1970-01-01T00:00:00Z
2014165,0,0.0,6,-66.108,83.531,1,0.0,0.0,d21b,1970-01-01T00:00:00Z
2013314,0,0.0,6,-65.988,86.975,1,0.0,0.0,d22,1970-01-01T00:00:00Z
2016001,0,0.0,6,-69.433,74.617,0,0.0,0.0,d23,1970-01-01T00:00:00Z
